# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	2	1021	+							HI_0001	1020		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	2	1021	+	AAC21680.1			glyceraldehyde-3-phosphate dehydrogenase (gapdH)			HI_0001	1020	339	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	1190	3013	+							HI_0002	1824		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	1190	3013	+	AAC21681.1			long chain fatty acid coA ligase, putative			HI_0002	1824	607	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	3050	3838	-							HI_0003	789		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	3050	3838	-	AAC21682.1			conserved hypothetical protein			HI_0003	789	262	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	3854	4318	-							HI_0004	465		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	3854	4318	-	AAC21683.1			conserved hypothetical protein			HI_0004	465	154	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	4579	5391	-							HI_0005	813		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	4579	5391	-	AAC21684.1			fdhD protein (fdhD)			HI_0005	813	270	
gene	pseudogene	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	5656	8748	+							HI_0006	3093		pseudo
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	8750	9688	+							HI_0007	939		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	8750	9688	+	AAC21685.1			formate dehydrogenase, beta subunit (fdxH)			HI_0007	939	312	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	9681	10397	+							HI_0008	717		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	9681	10397	+	AAC21686.1			formate dehydrogenase, gamma subunit (fdxI)			HI_0008	717	238	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	10467	11375	+							HI_0009	909		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	10467	11375	+	AAC21687.1			fdhE protein (fdhE)			HI_0009	909	302	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	11414	11854	-							HI_0010	441		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	11414	11854	-	AAC21688.1			ribosomal-protein-alanine acetyltransferase (rimI)			HI_0010	441	146	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	11857	12261	-							HI_0011	405		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	11857	12261	-	AAC21689.1			DNA polymerase III, psi subunit (holD)			HI_0011	405	134	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	12367	13359	+							HI_0012	993		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	12367	13359	+	AAC21690.1			conserved hypothetical protein			HI_0012	993	330	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	13423	14331	-							HI_0013	909		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	13423	14331	-	AAC21691.1			GTP-binding protein (era)			HI_0013	909	302	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	14328	15011	-							HI_0014	684		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	14328	15011	-	AAC21692.1			ribonuclease III (rnc)			HI_0014	684	227	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	15013	16062	-							HI_0015	1050		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	15013	16062	-	AAC21693.1			signal peptidase I (lepB)			HI_0015	1050	349	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	16071	17867	-							HI_0016	1797		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	16071	17867	-	AAC21694.1			GTP-binding membrane protein (lepA)			HI_0016	1797	598	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	18035	18418	-							HI_0017	384		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	18035	18418	-	AAC21695.1			conserved hypothetical protein			HI_0017	384	127	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	18676	19335	+							HI_0018	660		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	18676	19335	+	AAC21696.1			uracil DNA glycosylase (ung)			HI_0018	660	219	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	19405	20829	-							HI_0019	1425		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	19405	20829	-	AAC21697.1			conserved hypothetical protein			HI_0019	1425	474	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	21248	22687	-							HI_0020	1440		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	21248	22687	-	AAC21698.1			transport protein, putative			HI_0020	1440	479	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	22689	23939	-							HI_0021	1251		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	22689	23939	-	AAC21699.1			citG protein (citG)			HI_0021	1251	416	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	24267	25769	-							HI_0022	1503		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	24267	25769	-	AAC21700.1			citrate lyase, alpha chain (citF)			HI_0022	1503	500	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	25784	26659	-							HI_0023	876		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	25784	26659	-	AAC21701.1			citrate lyase, beta chain (citE)			HI_0023	876	291	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	26656	26943	-							HI_0024	288		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	26656	26943	-	AAC21702.1			citrate lyase, gamma chain (citD)			HI_0024	288	95	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	26981	27988	-							HI_0025	1008		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	26981	27988	-	AAC21703.1			citrate lyase ligase (citC)			HI_0025	1008	335	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	28239	29201	-							HI_0026	963		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	28239	29201	-	AAC21704.1			lipoate biosynthesis protein A (lipA)			HI_0026	963	320	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	29255	29893	-							HI_0027	639		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	29255	29893	-	AAC21705.1			lipoate biosynthesis protein B (lipB)			HI_0027	639	212	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	29895	30173	-							HI_0028	279		
