# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111	896	+							MSWAN_0001	786		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111	896	+	AEG17049.1			Cobyrinic acid ac-diamide synthase			MSWAN_0001	786	261	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	893	1381	+							MSWAN_0002	489		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	893	1381	+	AEG17050.1			AAA ATPase			MSWAN_0002	489	162	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	1609	2733	-							MSWAN_0003	1125		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	1609	2733	-	AEG17051.1			Radical SAM domain protein			MSWAN_0003	1125	374	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	2938	3489	+							MSWAN_0004	552		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	2938	3489	+	AEG17052.1			LemA family protein			MSWAN_0004	552	183	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	3502	5358	+							MSWAN_0005	1857		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	3502	5358	+	AEG17053.1			Protein of unknown function DUF2207, membrane			MSWAN_0005	1857	618	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	5539	6906	+							MSWAN_0006	1368		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	5539	6906	+	AEG17054.1			Cobyrinic acid A,C-diamide synthase			MSWAN_0006	1368	455	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	7023	8093	+							MSWAN_0007	1071		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	7023	8093	+	AEG17055.1			hypothetical protein			MSWAN_0007	1071	356	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	8337	9167	+							MSWAN_0008	831		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	8337	9167	+	AEG17056.1			F420-dependent methylenetetrahydromethanopterin dehydrogenase			MSWAN_0008	831	276	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	9520	10815	+							MSWAN_0009	1296		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	9520	10815	+	AEG17057.1			HAD superfamily hydrolase			MSWAN_0009	1296	431	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	10885	11445	-							MSWAN_0010	561		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	10885	11445	-	AEG17058.1			hypothetical protein			MSWAN_0010	561	186	
